315.277870349  (0.105592180701+0j)
(0.0661597+0j)  (0.272734+0j)

312.328032132  (0.103356641882+0j)
(0.0727494+0j)  (0.264523+0j)

309.13007869  (0.110345517888+0j)
(0.0831564+0j)  (0.311843+0j)

304.926611224  (0.100084108465+0j)
(0.0763125+0j)  (0.264849+0j)

300.040718744  (0.104332579507+0j)
(0.0788968+0j)  (0.259464+0j)

295.813415666  (0.100259991253+0j)
(0.0628619+0j)  (0.2429+0j)

290.224579928  (0.10028816594+0j)
(0.0718984+0j)  (0.254071+0j)

285.867314654  (0.107523995287+0j)
(0.0636042+0j)  (0.260039+0j)

280.668725881  (0.0959806231891+0j)
(0.0724216+0j)  (0.258032+0j)

277.164928737  (0.0998869538307+0j)
(0.0677115+0j)  (0.253489+0j)

273.219225144  (0.0996421926162+0j)
(0.0712211+0j)  (0.258199+0j)

269.116875495  (0.112912030781+0j)
(0.0716324+0j)  (0.270959+0j)

265.69528272  (0.109095271896+0j)
(0.0672694+0j)  (0.258615+0j)

261.381137044  (0.0970962748808+0j)
(0.0626066+0j)  (0.261609+0j)

255.790312452  (0.098122512593+0j)
(0.0606664+0j)  (0.254789+0j)

250.895131331  (0.10673377249+0j)
(0.0777228+0j)  (0.245598+0j)

244.859070479  (0.0963819587932+0j)
(0.0558916+0j)  (0.310363+0j)

238.381800336  (0.103937212159+0j)
(0.0773931+0j)  (0.256033+0j)

232.013936192  (0.101083615247+0j)
(0.0678746+0j)  (0.260264+0j)

224.706685874  (0.104417793891+0j)
(0.0765051+0j)  (0.269954+0j)

217.858893647  (0.104625907209+0j)
(0.0792305+0j)  (0.258209+0j)

209.402971475  (0.10331864918+0j)
(0.0753626+0j)  (0.26273+0j)

203.334609962  (0.104766305755+0j)
(0.0678239+0j)  (0.267513+0j)

