193.291085251  (0.290875554085+0j)
(0.22787+0j)  (0.353881+0j)

221.686393538  (0.0762777262264+0j)
(0.052211+0j)  (0.241929+0j)

248.022128612  (0.0847356389551+0j)
(0.0587122+0j)  (0.301045+0j)

266.986823354  (0.0905267140445+0j)
(0.0558075+0j)  (0.260844+0j)

285.319148573  (0.0914557973544+0j)
(0.0641261+0j)  (0.303589+0j)

303.840358267  (0.0811610081617+0j)
(0.0552523+0j)  (0.246705+0j)

