195.394581513  (0.0897103968789+0j)
(0.0596781+0j)  (0.256416+0j)

203.818787693  (0.0955430128995+0j)
(0.0651412+0j)  (0.258089+0j)

210.199618226  (0.0882113400628+0j)
(0.0655357+0j)  (0.254093+0j)

218.099261594  (0.0934957756716+0j)
(0.0676849+0j)  (0.262305+0j)

224.919696788  (0.0833882794661+0j)
(0.0567864+0j)  (0.254847+0j)

232.427337545  (0.0824044677946+0j)
(0.0495665+0j)  (0.248532+0j)

238.836922364  (0.0941973924637+0j)
(0.0660441+0j)  (0.258356+0j)

244.991484877  (0.0950859586398+0j)
(0.0609125+0j)  (0.30525+0j)

251.305857962  (0.0926238017924+0j)
(0.0598998+0j)  (0.260686+0j)

256.621445862  (0.0951185156317+0j)
(0.0689244+0j)  (0.258747+0j)

261.288269732  (0.0950779984979+0j)
(0.0590379+0j)  (0.262803+0j)

265.317490885  (0.0932519295636+0j)
(0.0654614+0j)  (0.255976+0j)

270.0943978  (0.0956636106267+0j)
(0.0654025+0j)  (0.259751+0j)

274.021517236  (0.09485921439+0j)
(0.0645422+0j)  (0.253092+0j)
