320.210489987  (0.0961654466741+0j)
(0.0616429+0j)  (0.254201+0j)

312.378297726  (0.0943153255126+0j)
(0.0668554+0j)  (0.311038+0j)

304.867232462  (0.101344262852+0j)
(0.0670928+0j)  (0.262568+0j)

294.702418186  (0.103158649276+0j)
(0.0748186+0j)  (0.256941+0j)

284.724336609  (0.0850967238931+0j)
(0.0617733+0j)  (0.241844+0j)

275.411948282  (0.095593644513+0j)
(0.0670636+0j)  (0.265304+0j)

266.783342724  (0.10369032972+0j)
(0.0763942+0j)  (0.245967+0j)

258.725657812  (0.115501614178+0j)
(0.0780105+0j)  (0.261843+0j)

247.909695435  (0.102887251798+0j)
(0.0720417+0j)  (0.303351+0j)

235.705604547  (0.0934775997611+0j)
(0.0650509+0j)  (0.259277+0j)

221.527582789  (0.101578997241+0j)
(0.0739142+0j)  (0.265628+0j)

207.741518013  (0.106215771507+0j)
(0.0657569+0j)  (0.260069+0j)

